model,epoch,val_loss,val_f1_macro,thresholds
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.4960653781890869,0.24524103501542047,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_arb_microsoft_mdeberta-v3-base_1,1.0,0.37633705139160156,0.36323060090952625,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,2.0,0.3839215636253357,0.40153644433772046,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,3.0,0.3957800269126892,0.4005999105331444,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,4.0,0.40138956904411316,0.38597996267602697,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.39815282821655273,0.3938004728007661,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.3839215636253357,0.40153644433772046,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.3888189494609833,0.4187634466932102,"0.55,0.1,0.3,0.5,0.25,0.3"
mono_ben_microsoft_mdeberta-v3-base_1,1.0,0.21019244194030762,0.0,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,2.0,0.2102198600769043,0.025089605734767026,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,3.0,0.19635578989982605,0.10130718954248365,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,4.0,0.19508112967014313,0.09576427255985266,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.19795604050159454,0.09576427255985266,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.19635578989982605,0.10130718954248365,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.21974922716617584,0.1018957345971564,"0.15000000000000002,0.45,0.2,0.1,0.05,0.05"
mono_deu_microsoft_mdeberta-v3-base_1,1.0,0.49587389826774597,0.058943089430894303,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,2.0,0.48242661356925964,0.24456361196584578,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,3.0,0.4943365752696991,0.2878921160064856,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,4.0,0.5100914239883423,0.33476975481981047,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.5132713913917542,0.3304827923461678,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.5100914239883423,0.33476975481981047,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.503643274307251,0.35672117571636847,"0.15000000000000002,0.45,0.2,0.45,0.2,0.2"
mono_eng_microsoft_mdeberta-v3-base_1,1.0,0.41396230459213257,0.20253543280162759,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,2.0,0.40620341897010803,0.20688959632367773,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,3.0,0.4126620888710022,0.2068258807588076,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,4.0,0.42339596152305603,0.3216165072678182,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.4242064356803894,0.3340202943120012,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.4242064356803894,0.3340202943120012,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.3876458704471588,0.2698938310861163,"0.3,0.7000000000000001,0.45,0.45,0.2,0.1"
mono_fas_microsoft_mdeberta-v3-base_1,1.0,0.35855355858802795,0.12719298245614036,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,2.0,0.34184229373931885,0.12630792227204782,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,3.0,0.34059271216392517,0.2191396365309409,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,4.0,0.3410342037677765,0.24389714712441846,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.3521920144557953,0.21720929033588532,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.3410342037677765,0.24389714712441846,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.3744274377822876,0.23602256367134247,"0.1,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.3"
mono_hau_microsoft_mdeberta-v3-base_1,1.0,0.08955118805170059,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,2.0,0.07719170302152634,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,3.0,0.07625924050807953,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,4.0,0.07586472481489182,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.0751301720738411,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.08955118805170059,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.09999576210975647,0.0,"0.05,0.05,0.05,0.05,0.05,0.05"
mono_hin_microsoft_mdeberta-v3-base_1,1.0,0.5735388398170471,0.6142953911593506,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_hin_microsoft_mdeberta-v3-base_1,2.0,0.5488454103469849,0.6004583675791954,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_hin_microsoft_mdeberta-v3-base_1,3.0,0.5437206029891968,0.6612037429292635,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_hin_microsoft_mdeberta-v3-base_1,4.0,0.5654914379119873,0.6322685804321747,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.5594371557235718,0.6309141881035935,"0.2,0.35000000000000003,0.15000000000000002,0.3,0.45,0.25"
